  id  |      nome      | total | qtdVotos | votos1 | votos2 | votos3 | votos4 | votos5 | votos6 | votos7 | votos8 | votos9 |         createdAt          |         updatedAt          |    votosmedia    | likePos | likeNeg 
 3179 | malicioso      |     3 |        1 |      0 |      0 |      1 |      0 |      0 |      0 |      0 |      0 |      0 | 2017-04-10 12:57:41.182-04 | 2017-04-13 12:12:11.383-04 |                3 |       0 |       0
 3114 | filosófico     |     8 |        1 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      1 |      0 | 2017-04-10 12:57:41.167-04 | 2017-04-13 12:18:55.282-04 |                8 |       0 |       0
 3124 | deprimente     |     2 |        2 |      2 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 | 2017-04-10 12:57:41.169-04 | 2017-04-13 12:59:42.239-04 |                1 |       0 |       0
 3164 | portátil       |     7 |        1 |      0 |      0 |      0 |      0 |      0 |      0 |      1 |      0 |      0 | 2017-04-10 12:57:41.178-04 | 2017-04-13 13:01:54.901-04 |                7 |       0 |       0
 3292 | incompleto     |    10 |        3 |      0 |      0 |      2 |      1 |      0 |      0 |      0 |      0 |      0 | 2017-04-10 12:57:41.211-04 | 2017-04-13 13:27:14.694-04 | 3.33333333333333 |       0 |       0
 3150 | temeroso       |     3 |        1 |      0 |      0 |      1 |      0 |      0 |      0 |      0 |      0 |      0 | 2017-04-10 12:57:41.175-04 | 2017-04-13 14:16:27.44-04  |                3 |       0 |       0
 3134 | bruto          |     1 |        1 |      1 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 | 2017-04-10 12:57:41.171-04 | 2017-04-13 15:22:00.56-04  |                1 |       0 |       0
 3180 | lamentável     |     4 |        2 |      0 |      2 |      0 |      0 |      0 |      0 |      0 |      0 |      0 | 2017-04-10 12:57:41.182-04 | 2017-04-17 13:08:13.602-04 |                2 |       0 |       0
 2405 | privado        |     8 |        1 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      1 |      0 | 2017-04-10 12:57:41.018-04 | 2017-04-12 14:39:24.715-04 |                8 |       0 |       0
 2721 | intolerável    |     1 |        1 |      1 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 | 2017-04-10 12:57:41.083-04 | 2017-04-12 14:40:48.733-04 |                1 |       0 |       0
 2078 | fácil          |     8 |        1 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      1 |      0 | 2017-04-10 12:57:40.917-04 | 2017-04-12 16:08:29.663-04 |                8 |       0 |       0
 3201 | exasperado     |     3 |        1 |      0 |      0 |      1 |      0 |      0 |      0 |      0 |      0 |      0 | 2017-04-10 12:57:41.186-04 | 2017-04-12 16:32:21.652-04 |                3 |       0 |       0
 3214 | deslumbrante   |     7 |        1 |      0 |      0 |      0 |      0 |      0 |      0 |      1 |      0 |      0 | 2017-04-10 12:57:41.189-04 | 2017-04-13 12:16:44.072-04 |                7 |       0 |       0
 2961 | vitorioso      |    15 |        2 |      0 |      0 |      0 |      0 |      0 |      0 |      1 |      1 |      0 | 2017-04-10 12:57:41.138-04 | 2017-04-15 08:04:06.402-04 |              7.5 |       0 |       0
 3229 | cansativo      |     6 |        2 |      0 |      0 |      2 |      0 |      0 |      0 |      0 |      0 |      0 | 2017-04-10 12:57:41.193-04 | 2017-04-14 10:53:11.917-04 |                3 |       0 |       0
 3332 | chateado       |     5 |        2 |      1 |      0 |      0 |      1 |      0 |      0 |      0 |      0 |      0 | 2017-04-10 12:57:41.221-04 | 2017-04-13 15:22:19.838-04 |              2.5 |       0 |       0
 2239 | precioso       |     7 |        1 |      0 |      0 |      0 |      0 |      0 |      0 |      1 |      0 |      0 | 2017-04-10 12:57:40.996-04 | 2017-04-13 11:38:27.514-04 |                7 |       0 |       0
 3244 | triunfal       |    16 |        2 |      0 |      0 |      0 |      0 |      0 |      0 |      1 |      0 |      1 | 2017-04-10 12:57:41.199-04 | 2017-04-13 14:27:26.985-04 |                8 |       0 |       0
